entry_time,entry_price,side,size,stop_loss,take_profit,exit_time,exit_price,exit_reason,status,pnl,pnl_pct,spread_cost,slippage_cost
2024-01-25 00:05:00,2016.54,BUY,10.0,1996.54,2076.54,2024-01-25 03:45:00,2015.14,Reverse Signal,CLOSED,-19.499999999998636,-0.09670028861316232,0.5,0.05
2024-01-25 03:45:00,2015.05,SELL,10.0,2035.05,1955.05,2024-01-25 04:20:00,2016.39,Reverse Signal,CLOSED,-18.900000000001455,-0.09379419865512745,0.5,0.05
2024-01-25 04:20:00,2016.63,BUY,10.0,1996.63,2076.63,2024-01-25 06:30:00,2016.15,Reverse Signal,CLOSED,-10.300000000000182,-0.051075308807268474,0.5,0.05
2024-01-25 06:30:00,2014.95,SELL,10.0,2034.95,1954.95,2024-01-25 07:50:00,2015.41,Reverse Signal,CLOSED,-10.100000000000364,-0.05012531328320983,0.5,0.05
2024-01-25 07:50:00,2015.71,BUY,10.0,1995.71,2075.71,2024-01-25 08:05:00,2015.42,Reverse Signal,CLOSED,-8.399999999999636,-0.04167266124591155,0.5,0.05
2024-01-25 08:05:00,2013.94,SELL,10.0,2033.94,1953.94,2024-01-25 08:50:00,2016.18,Reverse Signal,CLOSED,-27.90000000000009,-0.13853441512656828,0.5,0.05
2024-01-25 08:50:00,2016.29,BUY,10.0,1996.29,2076.29,2024-01-25 09:40:00,2014.84,Reverse Signal,CLOSED,-20.000000000000455,-0.09919208050429477,0.5,0.05
2024-01-25 09:40:00,2014.63,SELL,10.0,2034.63,1954.63,2024-01-25 11:20:00,2017.89,Reverse Signal,CLOSED,-38.09999999999991,-0.1891166119833414,0.5,0.05
2024-01-25 11:20:00,2018.01,BUY,10.0,1998.01,2078.01,2024-01-25 13:10:00,2016.36,Reverse Signal,CLOSED,-22.00000000000091,-0.10901829029589004,0.5,0.05
2024-01-25 13:10:00,2016.0,SELL,10.0,2036.0,1956.0,2024-01-25 15:15:00,2022.63,Reverse Signal,CLOSED,-71.80000000000109,-0.35615079365079905,0.5,0.05
2024-01-25 15:15:00,2021.47,BUY,10.0,2001.47,2081.4700000000003,2024-01-25 17:25:00,2017.12,Reverse Signal,CLOSED,-49.000000000001364,-0.24239785898381555,0.5,0.05
